node,sector
HC_A,HC
IT_AAPL,IT
HC_ABT,HC
FIN_ACGL,FIN
IT_ADBE,IT
IT_ADI,IT
CST_ADM,CST
UTL_AEE,UTL
UTL_AEP,UTL
UTL_AES,UTL
FIN_AFL,FIN
FIN_AJG,FIN
IT_AKAM,IT
MAT_ALB,MAT
FIN_ALL,FIN
IT_AMAT,IT
IT_AMD,IT
IND_AME,IND
HC_AMGN,HC
RE_AMT,RE
CD_AMZN,CD
FIN_AON,FIN
IND_AOS,IND
ENE_APA,ENE
MAT_APD,MAT
IT_APH,IT
RE_ARE,RE
UTL_ATO,UTL
FIN_AXP,FIN
UTL_LNT,UTL
IND_MMM,IND
CST_MO,CST
CS_T,CS
IND_ADP,IND
IT_ADSK,IT
RE_AVB,RE
MAT_AVY,MAT
CD_AZO,CD
IND_BA,IND
FIN_BAC,FIN
MAT_BALL,MAT
HC_BAX,HC
CD_BBY,CD
HC_BDX,HC
CST_BF-B,CST
HC_BIIB,HC
FIN_BK,FIN
CD_BKNG,CD
ENE_BKR,ENE
FIN_BLK,FIN
HC_BMY,HC
FIN_BRK-B,FIN
FIN_BRO,FIN
HC_BSX,HC
RE_BXP,RE
HC_CAH,HC
IND_CAT,IND
CD_CCL,CD
IT_CDNS,IT
IND_CHRW,IND
UTL_CNP,UTL
FIN_COF,FIN
HC_COR,HC
CST_CPB,CST
RE_CPT,RE
FIN_SCHW,FIN
HC_TECH,HC
FIN_C,FIN
CST_CAG,CST
FIN_CB,FIN
RE_CCI,RE
CST_CHD,CST
HC_CI,HC
IT_CIEN,IT
FIN_CINF,FIN
CST_CL,CST
CST_CLX,CST
CS_CMCSA,CS
IND_CMI,IND
UTL_CMS,UTL
HC_COO,HC
ENE_COP,ENE
CST_COST,CST
IND_CPRT,IND
MAT_CRH,MAT
IT_CSCO,IT
RE_CSGP,RE
IND_CSX,IND
IND_CTAS,IND
ENE_CTRA,ENE
IT_CTSH,IT
HC_CVS,HC
ENE_CVX,ENE
IND_DE,IND
CD_DECK,CD
HC_DHR,HC
CD_DRI,CD
HC_DVA,HC
ENE_DVN,ENE
UTL_ED,UTL
IND_FIX,IND
IT_GLW,IT
CST_KO,CST
CST_STZ,CST
UTL_D,UTL
MAT_DD,MAT
CD_DHI,CD
CST_DLTR,CST
IND_DOV,IND
UTL_DTE,UTL
UTL_DUK,UTL
CS_EA,CS
CD_EBAY,CD
MAT_ECL,MAT
IND_EFX,IND
FIN_EG,FIN
UTL_EIX,UTL
CST_EL,CST
IND_EME,IND
IND_EMR,IND
ENE_EOG,ENE
RE_EQR,RE
ENE_EQT,ENE
FIN_ERIE,FIN
UTL_ES,UTL
RE_ESS,RE
IND_ETN,IND
UTL_ETR,UTL
UTL_EVRG,UTL
UTL_EXC,UTL
IND_EXPD,IND
IND_FAST,IND
FIN_FDS,FIN
IND_FDX,IND
UTL_FE,UTL
IT_FFIV,IT
IT_FICO,IT
FIN_FITB,FIN
RE_FRT,RE
