source,target,weight
HC_A,IT_ADI,1
HC_A,IT_LRCX,1
HC_A,IT_TER,1
HC_A,IT_TXN,1
HC_ABT,HC_JNJ,1
FIN_ACGL,FIN_CINF,1
FIN_ACGL,FIN_EG,1
FIN_ACGL,FIN_TRV,1
FIN_ACGL,FIN_WRB,1
IT_ADBE,IT_ADI,1
IT_ADBE,IT_AMAT,1
IT_ADBE,IT_ADSK,1
IT_ADBE,IT_CSCO,1
IT_ADBE,IT_KLAC,1
IT_ADBE,IT_MSFT,1
IT_ADI,IT_AMAT,1
IT_ADI,IT_AMD,1
IT_ADI,IT_APH,1
IT_ADI,IT_CSCO,1
IT_ADI,IT_INTC,1
IT_ADI,IT_JBL,1
IT_ADI,IT_KLAC,1
IT_ADI,IT_LRCX,1
IT_ADI,IT_MCHP,1
IT_ADI,IT_MU,1
IT_ADI,IT_NTAP,1
IT_ADI,IT_NVDA,1
IT_ADI,IT_QCOM,1
IT_ADI,IT_SWKS,1
IT_ADI,IT_TER,1
IT_ADI,IT_TXN,1
UTL_AEE,UTL_AEP,1
UTL_AEE,UTL_ATO,1
UTL_AEE,UTL_LNT,1
UTL_AEE,UTL_CNP,1
UTL_AEE,UTL_CMS,1
UTL_AEE,UTL_ED,1
UTL_AEE,UTL_D,1
UTL_AEE,UTL_DTE,1
UTL_AEE,UTL_DUK,1
UTL_AEE,UTL_EIX,1
UTL_AEE,UTL_ES,1
UTL_AEE,UTL_ETR,1
UTL_AEE,UTL_EVRG,1
UTL_AEE,UTL_EXC,1
UTL_AEE,UTL_FE,1
UTL_AEE,UTL_NEE,1
UTL_AEE,UTL_NI,1
UTL_AEE,UTL_PEG,1
UTL_AEE,UTL_PNW,1
UTL_AEE,UTL_PPL,1
UTL_AEE,UTL_SO,1
UTL_AEE,UTL_SRE,1
UTL_AEE,UTL_WEC,1
UTL_AEE,UTL_XEL,1
UTL_AEP,UTL_ATO,1
UTL_AEP,UTL_LNT,1
UTL_AEP,UTL_CNP,1
